system size,filling range,absolute error,relative error
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",1.1102230246251565e-16,1.1102230246251565e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",0.0,0.0
2,"[1.0, 1.0]",0.0,0.0
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
2,"[1.0, 1.0]",0.0,0.0
2,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",3.3306690738754696e-16,3.3306690738754696e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",0.0,0.0
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
3,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
4,"[1.0, 1.0]",1.1102230246251565e-16,1.1102230246251565e-16
4,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
4,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
4,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
4,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
4,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
4,"[1.0, 1.0]",4.440892098500626e-16,4.440892098500626e-16
4,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
4,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
5,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
5,"[1.0, 1.0]",1.1102230246251565e-16,1.1102230246251565e-16
5,"[1.0, 1.0]",4.440892098500626e-16,4.440892098500626e-16
5,"[1.0, 1.0]",3.3306690738754696e-16,3.3306690738754696e-16
5,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
5,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
5,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
5,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
5,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
6,"[1.0, 1.0]",2.220446049250313e-16,2.220446049250313e-16
